"sample","latitude","longitude","date","time","site","location","successful.count"
"FH10",-33.98618897,114.8863721,20201013,12:32:00,"C.FH.24","South-west","Yes"
"FH102",-33.68868897,114.9288721,20201017,06:42:00,"C.FH.3","South-west","Yes"
"FH106",-33.78868897,114.8163721,20201012,13:16:00,"C.FH.12","South-west","Yes"
"FH108",-33.76118897,114.9238721,20201017,09:32:00,"C.FH.9","South-west","Yes"
"FH109",-33.91618897,114.9088721,20201029,13:04:00,"C.FH.20","South-west","Yes"
"FH11",-33.89868897,114.9388721,20201029,14:48:00,"C.FH.18","South-west","Yes"
"FH110",-33.80868897,114.8213721,20201012,15:06:00,"C.FH.13","South-west","Yes"
"FH111",-33.98618897,114.8788721,20201013,12:28:00,"C.FH.24","South-west","Yes"
"FH113",-33.72368897,114.7963721,20201012,12:41:00,"C.FH.7","South-west","Yes"
"FH12",-33.91868897,114.8963721,20201029,12:46:00,"C.FH.21","South-west","Yes"
"FH14",-33.76618897,114.8713721,20201017,11:24:00,"C.FH.10","South-west","Yes"
"FH15",-33.68868897,114.8063721,20201012,10:29:00,"C.FH.4","South-west","Yes"
"FH16",-33.90118897,114.8563721,20201013,08:02:00,"C.FH.19","South-west","Yes"
"FH17",-33.83368897,114.8763721,20201012,15:35:00,"C.FH.14","South-west","Yes"
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes"
"FH2",-33.91868897,114.8913721,20201029,12:43:00,"C.FH.21","South-west","Yes"
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes"
"FH21",-33.79368897,114.8088721,20201012,13:26:00,"C.FH.12","South-west","Yes"
"FH23",-33.94618897,114.8288721,20201013,09:51:00,"C.FH.22","South-west","Yes"
"FH24",-33.66868897,114.8438721,20201012,07:55:00,"C.FH.1","South-west","Yes"
"FH25",-33.87868897,114.8163721,20201013,07:34:00,"C.FH.16","South-west","Yes"
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes"
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes"
"FH28",-33.76368897,114.9338721,20201017,09:24:00,"C.FH.9","South-west","Yes"
"FH30",-33.75118897,114.8888721,20201017,11:12:00,"C.FH.8","South-west","Yes"
"FH31",-33.67368897,114.8238721,20201012,08:27:00,"C.FH.2","South-west","Yes"
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west","Yes"
"FH33",-33.70868897,114.8263721,20201012,10:54:00,"C.FH.6","South-west","Yes"
"FH34",-33.78618897,114.8838721,20201017,11:51:00,"C.FH.11","South-west","Yes"
"FH35",-33.88368897,114.9313721,20201029,15:09:00,"C.FH.17","South-west","Yes"
"FH37",-33.71118897,114.8138721,20201012,11:03:00,"C.FH.6","South-west","Yes"
"FH39",-33.90368897,114.9313721,20201029,14:44:00,"C.FH.18","South-west","Yes"
"FH40",-33.92368897,114.8888721,20201029,12:40:00,"C.FH.21","South-west","Yes"
"FH41",-33.67118897,114.8388721,20201012,08:01:00,"C.FH.1","South-west","Yes"
"FH42",-33.88118897,114.8113721,20201013,07:38:00,"C.FH.16","South-west","Yes"
"FH44",-33.77118897,114.8638721,20201017,11:28:00,"C.FH.10","South-west","Yes"
"FH45",-33.69368897,114.7988721,20201012,10:39:00,"C.FH.4","South-west","Yes"
"FH46",-33.76618897,114.9288721,20201017,09:28:00,"C.FH.9","South-west","Yes"
"FH47",-33.90618897,114.8488721,20201013,08:09:00,"C.FH.19","South-west","Yes"
"FH48",-33.79618897,114.8138721,20201012,13:23:00,"C.FH.12","South-west","Yes"
"FH49",-33.92118897,114.9163721,20201029,13:00:00,"C.FH.20","South-west","Yes"
"FH5",-33.69368897,114.9413721,20201017,08:46:00,"C.FH.5","South-west","Yes"
"FH50",-33.68118897,114.9313721,20201017,06:51:00,"C.FH.3","South-west","Yes"
"FH51",-33.90618897,114.8538721,20201013,08:06:00,"C.FH.19","South-west","Yes"
"FH52",-33.99118897,114.8888721,20201013,12:36:00,"C.FH.24","South-west","Yes"
"FH54",-33.76618897,114.9388721,20201017,09:20:00,"C.FH.9","South-west","Yes"
"FH55",-33.92368897,114.9088721,20201029,12:52:00,"C.FH.20","South-west","Yes"
"FH56",-33.83118897,114.8663721,20201012,15:31:00,"C.FH.14","South-west","Yes"
"FH57",-33.78868897,114.8113721,20201012,13:12:00,"C.FH.12","South-west","Yes"
"FH58",-33.66368897,114.8413721,20201012,07:47:00,"C.FH.1","South-west","Yes"
"FH59",-33.66868897,114.8188721,20201012,08:32:00,"C.FH.2","South-west","Yes"
"FH6",-33.70618897,114.8213721,20201012,10:50:00,"C.FH.6","South-west","Yes"
"FH60",-33.81618897,114.8213721,20201012,15:14:00,"C.FH.13","South-west","Yes"
"FH61",-33.84118897,114.8638721,20201012,15:43:00,"C.FH.14","South-west","Yes"
"FH62",-33.75618897,114.8813721,20201017,11:17:00,"C.FH.8","South-west","Yes"
"FH63",-33.67868897,114.8163721,20201012,08:20:00,"C.FH.2","South-west","Yes"
"FH64",-33.70118897,114.9388721,20201017,08:56:00,"C.FH.5","South-west","Yes"
"FH65",-33.71368897,114.8188721,20201012,10:59:00,"C.FH.6","South-west","Yes"
"FH66",-33.90618897,114.9363721,20201029,14:40:00,"C.FH.18","South-west","Yes"
"FH67",-33.88868897,114.9238721,20201029,15:00:00,"C.FH.17","South-west","Yes"
"FH68",-33.95118897,114.8288721,20201013,10:01:00,"C.FH.22","South-west","Yes"
"FH69",-33.69618897,114.8038721,20201012,10:43:00,"C.FH.4","South-west","Yes"
"FH7",-33.78368897,114.8788721,20201017,11:45:00,"C.FH.11","South-west","Yes"
"FH70",-33.67368897,114.8463721,20201012,08:07:00,"C.FH.1","South-west","Yes"
"FH71",-33.88368897,114.8188721,20201013,07:30:00,"C.FH.16","South-west","Yes"
"FH72",-33.88868897,114.9288721,20201029,15:06:00,"C.FH.17","South-west","Yes"
