"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024_Albany_stereo-BRUVs","1",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","1",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","1",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","101",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","101",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","103",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","103",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","105",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","105",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","107",,"stereo.maxn.does.not.equal.maxn","Arripidae","Arripis","georgianus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","109",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","1","230.69087",,"31978",,,,,,,,
"2024_Albany_stereo-BRUVs","109",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","1","247.86719",,"32160",,,,,,,,
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"223.75854",,"31778","1409.23825",,,,,"41.47445","3.21691","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"230.74409",,"31856","1604.36379",,,,,"34.42444","1.35565","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"225.57597",,"31994","1367.75276",,,,,"39.89356","2.8809","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"211.99341",,"32061","1414.55803",,,,,"38.96765","3.92917","37330001"
"2024_Albany_stereo-BRUVs","11",,"species.not.observed.in.region.before","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","11",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"16488",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","11",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","11",,"stereo.maxn.does.not.equal.maxn","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","112",,"sample.without.points",,,,,,,,,,,,,,,
