"campaignid","opcode","family","genus","species","code","length_mm","number","mass_kg","range","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"2024_Albany_stereo-BRUVs","1","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes","Joshua","Annika",NA,NA
"2024_Albany_stereo-BRUVs","11","Sillaginidae","Sillaginodes","punctatus",NA,223.75854,1,0.04677338997938,1409.23825,-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Michele","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","11","Sillaginidae","Sillaginodes","punctatus",NA,230.74409,1,0.0516873802364192,1604.36379,-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Michele","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","11","Sillaginidae","Sillaginodes","punctatus",NA,225.57597,1,0.0480193522005391,1367.75276,-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Michele","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","11","Sillaginidae","Sillaginodes","punctatus",NA,211.99341,1,0.0392419671370245,1414.55803,-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Michele","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","15","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes","Joshua","Annika",NA,NA
"2024_Albany_stereo-BRUVs","17","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes","Eden","Michele",NA,NA
"2024_Albany_stereo-BRUVs","18","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes","Dillon","Michele",NA,NA
"2024_Albany_stereo-BRUVs","19","Sillaginidae","Sillaginodes","punctatus",NA,189.41461,1,0.0272070267755898,3354.89994,-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes","Sylvie","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","19","Sillaginidae","Sillaginodes","punctatus",NA,160.70528,1,0.0159319732351611,1783.62119,-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes","Sylvie","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,226.1498,1,0.0484174583721657,2119.62896,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,232.18472,1,0.0527433141164639,1697.30623,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,221.57915,1,0.0453089289532756,1963.68658,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,187.05938,1,0.0261215968848775,1899.8087,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,212.1095,1,0.0393118738822342,1709.41983,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus",NA,225.30019,1,0.0478288307243813,1564.77688,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","3","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.039,117.898,"2024-04-26T12:10:00+08:00",NA,NA,"Fished","14.5","Yes","Yes","Eden","Annika",NA,NA
"2024_Albany_stereo-BRUVs","4","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.04,117.903,"2024-04-26T12:00:00+08:00",NA,NA,"Fished","13.5","Yes","Yes","Ryan","Annika",NA,NA
"2024_Albany_stereo-BRUVs","5","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.038,117.897,"2024-04-26T12:12:00+08:00",NA,NA,"Fished","15","Yes","Yes","Dillon","Sylvie",NA,NA
"2024_Albany_stereo-BRUVs","54","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.066,117.881,"2024-04-25T09:30:00+08:00",NA,NA,"Fished","1.8","Yes","Yes","Annika","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","56","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.065,117.881,"2024-04-25T09:41:00+08:00",NA,NA,"Fished","2.2","Yes","Yes","Annika","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,244.08265,1,0.0620404453887099,1582.15406,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,230.2205,1,0.0513072506664205,1455.90179,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,227.3382,1,0.0492491701138782,1759.98352,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,171.91028,1,0.0198431692558741,1737.15201,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,179.17602,2,0.0454120404032471,2778.51284,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,214.54307,1,0.0407971830825087,2436.88604,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,141.05109,1,0.0104129994210436,2074.69517,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,170.65336,1,0.0193746216920449,1903.5854,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,156.68983,1,0.0146710582836467,2464.32822,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,206.82889,2,0.0724360755153625,3022.72555,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus",NA,159.239,1,0.0154632084634382,2288.97209,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","6","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.04,117.906,"2024-04-26T11:45:00+08:00",NA,NA,"Fished","14","Yes","Yes","Joshua","Annika",NA,NA
"2024_Albany_stereo-BRUVs","61","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.06,117.908,"2024-04-25T10:44:00+08:00",NA,NA,"Fished","4","Yes","Yes","Eden","Michele",NA,NA
"2024_Albany_stereo-BRUVs","64","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.067,117.895,"2024-04-25T09:57:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Dillon","Michele",NA,NA
"2024_Albany_stereo-BRUVs","65","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.042,117.866,"2024-04-25T12:14:00+08:00",NA,NA,"Fished","3.6","Yes","Yes","Dillon","Eden",NA,NA
"2024_Albany_stereo-BRUVs","66","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.07,117.894,"2024-04-25T09:59:00+08:00",NA,NA,"Fished","0.8","Yes","Yes","Zach","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","67","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.067,117.9,"2024-04-25T10:11:00+08:00",NA,NA,"Fished","2.6","Yes","Yes","Zach","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","68","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.069,117.906,"2024-04-25T10:24:00+08:00",NA,NA,"Fished","2.4","Yes","Yes","Eden","Michele",NA,NA
"2024_Albany_stereo-BRUVs","69","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.069,117.907,"2024-04-25T10:26:00+08:00",NA,NA,"Fished","2.2","Yes","Yes","Annika","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","70","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.057,117.907,"2024-04-25T10:40:00+08:00",NA,NA,"Fished","3.9","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,266.64271,2,0.165341571213997,1795.91824,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,242.26341,3,0.181652837273378,2422.54438,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,263.86171,1,0.0799040283522706,2054.82052,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,298.37749,2,0.238171263648927,2111.86602,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,297.48685,1,0.117936080721616,1519.43501,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,288.05707,3,0.31869244806812,2247.34682,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","71","Sillaginidae","Sillaginodes","punctatus",NA,280.35141,3,0.291845366467146,2501.136,-35.061,117.879,"2024-04-25T11:19:00+08:00",NA,NA,"Fished","2.1","Yes","Yes","Joshua","Michele",NA,NA
"2024_Albany_stereo-BRUVs","72","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.059,117.879,"2024-04-25T11:43:00+08:00",NA,NA,"Fished","2.7","Yes","Yes","Annika","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","73","Sillaginidae","Sillaginodes","punctatus",NA,NA,0,NA,NA,-35.059,117.877,"2024-04-25T11:45:00+08:00",NA,NA,"Fished","2.2","Yes","Yes","Dillon","Sylvie",NA,NA
