OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
1	0	0	1317.60756	535.97015	602.39244	503.73134
100	0	0	1343.79853	642.76119	622.53935	614.55224
100	1	0	1173.18783	593.94030	1209.56978	602.00000
100	1	1	1273.92235	598.97761	1305.26758	623.15672
100	2	0	1467.90346	678.38060	1395.14586	732.98507
100	2	1	1527.33683	646.14179	1490.17209	712.50000
100	3	0	1290.28856	611.89552	1298.17314	639.40299
100	3	1	1370.87618	601.14925	1378.08919	639.40299
100	4	0	1530.36201	702.26866	1411.40609	767.75373
100	4	1	1668.03253	680.77612	1562.50787	768.42537
101	0	0	1323.65163	640.74627	660.81847	699.17910
102	0	0	1519.07660	564.17910	427.11438	533.95522
103	0	0	1200.75551	689.10448	654.77440	727.38806
105	0	0	1188.66737	646.79104	684.99475	679.02985
106	0	0	1624.75248	574.90099	1674.35644	665.90099
106	0	1	1756.93069	557.97030	1821.98020	666.19802
107	0	0	1251.12277	592.38806	620.52466	666.94030
107	1	0	1139.15635	837.25373	1038.11962	878.47015
107	1	1	1321.82162	808.70896	1247.31165	857.64925
107	2	0	1185.62959	780.15672	1184.01154	819.45522
107	2	1	1329.00839	745.23134	1344.51522	790.23881
107	3	0	630.81322	758.44030	596.69045	766.32836
107	3	1	785.27282	861.53731	721.26548	876.47761
107	4	0	1570.70094	868.74627	1382.67891	952.03731
107	4	1	1797.35362	840.53731	1682.53200	936.58955
107	5	0	1422.18573	729.23134	1468.91081	777.14925
107	5	1	1568.92235	729.90299	1604.90241	784.87313
107	6	0	1634.92130	807.16418	1514.37985	885.23134
107	6	1	1837.06191	807.50000	1766.21616	900.00746
107	7	0	1275.82057	526.81343	1418.03568	551.06716
107	7	1	1393.67996	515.73134	1557.04932	540.32090
107	8	0	821.33473	531.64179	1042.20252	549.42537
107	8	1	903.93704	524.92537	1128.83421	544.38806
107	9	0	1558.39140	731.32836	1641.49423	782.37313
107	9	1	1707.81427	719.23881	1795.28227	779.68657
107	10	0	1146.27177	829.28358	1066.13431	865.12687
107	10	1	1375.94648	800.06716	1321.32844	852.36567
107	11	0	1033.31584	773.65672	988.08290	802.34328
107	11	1	1248.55194	779.36567	1237.56873	823.50000
107	12	0	1161.51417	670.29851	1202.05561	701.97761
107	12	1	1363.31899	692.46269	1417.62749	732.87313
108	0	0	1565.41448	564.17910	517.77545	578.28358
109	0	0	1176.57922	517.83582	717.22980	578.28358
109	1	0	861.90556	903.32836	810.19098	923.82836
109	1	1	1115.69990	878.80597	1046.24554	917.78358
109	2	0	873.10073	666.25373	1028.11857	687.32090
109	2	1	777.40294	668.60448	930.07030	690.00746
109	3	0	1373.17209	796.46269	1485.15005	841.38806
109	3	1	1232.14376	789.07463	1330.69045	826.94776
