OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
100	1	L1207_MAH00039.MP4	76801	R1208_MAH00042.MP4	73021	21.35494	1	3.05945	204.48525	13.53477	5.71289	2954.84801	12.95611	34.01991	4.98268	653.83947	-106.71300	-2879.62377	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
100	2	L1207_MAH00039.MP4	76846	R1208_MAH00042.MP4	73066	21.36746	1	3.07196	203.75203	8.49061	5.08609	2203.65491	22.21746	36.47146	7.69983	809.30976	-198.31184	-2040.04537	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
100	3	L1207_MAH00039.MP4	77065	R1208_MAH00042.MP4	73285	21.42835	1	3.13285	149.46939	12.05815	5.89220	2668.52671	16.56222	37.22259	5.91532	750.21028	-125.77480	-2557.81157	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
100	4	L1207_MAH00039.MP4	77251	R1208_MAH00042.MP4	73471	21.48007	1	3.18457	174.46479	5.45867	6.45838	1872.72577	25.24596	26.82391	6.91315	769.83880	-212.86839	-1693.85273	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
106	0	L1207_MAH00041.MP4	30769	R1208_MAH00044.MP4	26988	8.55549	1	2.37265	252.60062	14.90182	7.99072	2899.34709	30.51032	29.57225	5.23304	1468.47944	-101.45462	-2497.89684	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	1	L1231_MAH00449.MP4	61921	R1232_MAH00416.MP4	64432	17.21748	1	4.36825	201.94912	1.46380	3.36350	1516.90368	14.67761	4.99380	3.39592	229.81192	-308.08072	-1467.40231	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	2	L1231_MAH00449.MP4	61921	R1232_MAH00416.MP4	64432	17.21748	1	4.36825	188.79809	2.14426	2.65686	1844.33931	14.92850	1.39454	9.26035	367.15202	-301.57056	-1782.08925	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	3	L1231_MAH00449.MP4	61961	R1232_MAH00416.MP4	64472	17.22860	1	4.37938	198.70368	2.54654	2.30336	1648.01784	14.44678	19.18429	32.98515	-296.21394	-285.13210	-1595.90720	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	4	L1231_MAH00449.MP4	61963	R1232_MAH00416.MP4	64474	17.22916	1	4.37993	211.69420	1.89656	6.17670	1235.59902	28.52649	10.38026	2.90730	512.03477	-293.28052	-1085.59286	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	5	L1231_MAH00449.MP4	62003	R1232_MAH00416.MP4	64514	17.24028	1	4.39105	220.45065	8.14532	4.33225	1895.26963	22.66512	59.29012	3.60412	674.99523	-278.86445	-1748.90339	Sillaginidae	Sillaginodes	punctatus	37330001	2	AD	Passing			
107	6	L1231_MAH00449.MP4	62028	R1232_MAH00416.MP4	64539	17.24723	1	4.39800	186.05581	2.78841	6.66895	1320.61762	30.16507	26.88588	0.36624	605.56450	-271.39988	-1141.78135	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	7	L1231_MAH00449.MP4	62113	R1232_MAH00416.MP4	64624	17.27086	1	4.42164	250.94097	6.78196	3.89723	2706.01062	17.32814	9.38826	2.55789	805.87119	-12.51046	-2583.19736	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	8	L1231_MAH00449.MP4	62192	R1232_MAH00416.MP4	64703	17.29283	1	4.44361	226.73703	11.01429	4.71617	3940.86837	0.97806	15.19118	2.17037	66.91069	6.93306	-3940.29420	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	9	L1231_MAH00449.MP4	62377	R1232_MAH00416.MP4	64888	17.34427	1	4.49505	234.49219	9.08565	5.86340	1994.76472	28.03224	62.93871	7.45204	891.25214	-290.74285	-1760.74544	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	10	L1231_MAH00449.MP4	62583	R1232_MAH00416.MP4	65094	17.40155	1	4.55233	252.73236	1.60951	3.80652	1569.50185	15.41931	2.71010	2.60569	278.76297	-310.53372	-1513.00895	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
107	11	L1231_MAH00449.MP4	62585	R1232_MAH00416.MP4	65096	17.40211	1	4.55288	282.87736	2.39054	3.08823	1722.16296	11.79595	13.93455	7.65953	196.91590	-291.83538	-1685.79402	Sillaginidae	Sillaginodes	punctatus	37330001	1	AD	Passing			
