OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
1	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	1.EMObs
100	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	100.EMObs
101	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\31_32\	101.EMObs
102	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	102.EMObs
103	1.09	2024 05 14 11:57:54	L:\2024-04_MFT\20240427\31_32\	103.EMObs
104	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	104.EMObs
105	1.09	2024 05 14 11:57:54	L:\2024-04_MFT\20240427\31_32\	105.EMObs
106	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	106.EMObs
107	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\31_32\	107.EMObs
108	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	108.EMObs
109	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\31_32\	109.EMObs
11	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240425\L1207-R1208\	11.EMObs
110	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	110.EMObs
111	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	111.EMObs
112	1.09	2024 05 14 11:57:54	L:\2024-04_MFT\20240427\31_32\	112.EMObs
114	1.09	2024 05 14 11:57:54	L:\2024-04_MFT\20240427\31_32\	114.EMObs
115	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\31_32\	115.EMObs
116	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240427\L1207_L1208\	116.EMObs
15	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240426\L1207-_R1208\	15.EMObs
17	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240425\L1231-R1232\	17.EMObs
18	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1231-R1232\56\	18.EMObs
19	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1207-R1208\	19.EMObs
20	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1207-R1208\	20.EMObs
3	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240426\L1231_R1232\	3.EMObs
4	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240426\L1231_R1232\	4.EMObs
5	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240426\L1207-_R1208\	5.EMObs
54	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240425\L1207-R1208\	54.EMObs
56	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240425\L1207-R1208\	56.EMObs
58	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1207-R1208\	58.EMObs
6	1.09	2024 05 14 11:57:54	E:\2024-04_MFT\20240426\L1207-_R1208\	6.EMObs
61	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1231-R1232\61\	61.EMObs
64	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1231-R1232\64\	64.EMObs
65	1.09	2024 05 14 11:57:54	K:\2024-04_MFT\20240425\L1231-R1232\	65.EMObs
