"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","broad.consolidated","broad.macroalgae","broad.seagrasses","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"01",-34.128599,114.930865,20200602,09:10:00,"c1","South-west","Yes",4,16,20,0,1,0,14,0,15,3.2,0.414039335605413
"02",-34.125316,114.928838,20200602,09:18:00,"c1","South-west","Yes",5,15,20,0,2,0,8,0,10,3,0
"03",-34.126906,114.925945,20200602,09:27:00,"c1","South-west","Yes",0,20,20,0,15,0,0,0,15,3,0.377964473009227
"04",-34.122634,114.920337,20200602,09:44:00,"c2","South-west","Yes",0,20,20,0,0,0,0,14,14,0.571428571428571,0.513552591013095
"05",-34.131497,114.915753,20200602,09:57:00,"c3","South-west","Yes",2,18,20,1,10,0,1,0,12,3.16666666666667,0.389249472080761
"06",-34.132842,114.912405,20200602,10:06:00,"c3","South-west","Yes",0,20,20,1,9,0,0,0,10,2.9,0.316227766016838
"07",-34.134771,114.910241,20200602,10:16:00,"c3","South-west","Yes",0,20,20,0,12,0,0,2,14,2.71428571428571,0.726273039202563
"08",-34.129352,114.911755,20200602,13:48:00,"c3","South-west","Yes",0,20,20,6,11,0,1,0,18,3.05555555555556,0.639137490706142
"09",-34.119541,114.916105,20200602,11:45:00,"c2","South-west","Yes",0,20,20,0,10,0,0,8,18,1.94444444444444,1.25895485235231
"10",-34.117294,114.918685,20200602,11:51:00,"c2","South-west","Yes",0,20,20,0,8,0,6,0,14,2.21428571428571,0.42581531362632
"11",-34.117752,114.92306,20200602,13:55:00,"c2","South-west","Yes",0,20,20,0,11,0,4,2,17,1.76470588235294,0.664211164155071
"12",-34.132262,114.928545,20200602,12:03:00,"c1","South-west","Yes",1,19,20,0,6,4,2,0,12,2.75,0.452267016866645
"13",-34.128506,114.930547,20200602,12:09:00,"c1","South-west","Yes",2,18,20,0,1,0,19,0,20,2.3,0.470162345981627
"14",-34.128381,114.925457,20200602,12:16:00,"c1","South-west","Yes",9,11,20,0,11,1,0,0,12,3,0
"15",-34.125012,114.91032,20200602,14:09:00,"c3","South-west","Yes",5,15,20,1,11,0,4,0,16,3.0625,0.25
"16",-34.126181,114.906548,20200602,14:14:00,"c3","South-west","Yes",8,12,20,0,14,1,3,0,18,3,0
"17",-34.132142,114.92083,20200602,14:20:00,"c3","South-west","Yes",0,20,20,0,8,0,0,2,10,2.3,0.823272602348565
"18",-34.128679,114.924078,20200602,14:25:00,"c1","South-west","Yes",0,20,20,0,5,0,0,0,5,3,0
"20",-34.130219,114.820233,20200603,08:16:00,"c8","South-west","Yes",0,20,20,7,6,0,0,2,15,2.26666666666667,0.703731550548997
"21",-34.128151,114.817448,20200603,08:24:00,"c8","South-west","Yes",0,20,20,9,2,0,5,0,16,2.4375,0.51234753829798
"22",-34.126271,114.819552,20200603,08:32:00,"c8","South-west","Yes",0,20,20,1,6,0,1,2,10,2.2,0.788810637746616
"23",-34.124217,114.817017,20200603,08:38:00,"c8","South-west","Yes",0,20,20,0,1,0,10,0,11,2.36363636363636,0.504524979109513
"24",-34.118739,114.826402,20200603,08:47:00,"c7","South-west","Yes",0,20,20,0,5,0,0,0,5,2,0
"25",-34.116829,114.828432,20200603,08:54:00,"c7","South-west","Yes",0,20,20,0,4,0,3,0,7,3,0
"26",-34.120881,114.828907,20200603,09:02:00,"c7","South-west","Yes",0,20,20,4,9,0,2,0,15,2.33333333333333,0.487950036474267
"27",-34.121824,114.832898,20200603,10:19:00,"c7","South-west","Yes",0,20,20,5,4,0,1,5,15,1.93333333333333,0.79880863671798
"28",-34.112916,114.852137,20200603,10:27:00,"c6","South-west","Yes",0,20,20,1,12,0,1,0,14,2.14285714285714,0.363136519601281
"29",-34.111084,114.855648,20200603,10:31:00,"c6","South-west","Yes",0,20,20,0,5,1,4,0,10,2.9,0.316227766016838
"30",-34.112094,114.85946,20200603,10:37:00,"c6","South-west","Yes",2,18,20,0,7,1,2,0,10,2.4,0.516397779494322
"31",-34.116007,114.860738,20200603,10:42:00,"c6","South-west","Yes",0,20,20,0,7,0,0,8,15,1.66666666666667,1.23442679969674
"32",-34.130076,114.86109,20200603,10:49:00,"c5","South-west","Yes",0,20,20,0,11,0,0,1,12,2.66666666666667,0.887625364598595
"33",-34.133067,114.8627,20200603,10:54:00,"c5","South-west","Yes",0,20,20,3,3,0,2,7,15,1.26666666666667,1.16291915126588
