"campaignid","sample","family","genus","species","length","number","range"
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",148.2794,1,2006.93166
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",126.92704,1,2044.65261
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",170.07629,1,1989.82356
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",166.58498,1,1582.90659
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",132.54113,1,1793.68479
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",134.20839,1,2186.99994
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",153.6918,1,1927.16031
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",181.08339,1,1903.05278
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",186.08155,1,1650.85178
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",195.43343,1,1420.98125
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",140.52817,1,2011.03842
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",138.70284,1,1957.54611
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",146.59042,1,2067.34447
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",71.10585,1,1508.68562
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",76.68168,1,1722.72752
"2020-06_south-west_stereo-BRUVs","01","Scorpididae","Tilodon","sexfasciatus",326.08301,1,3443.46723
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",131.75273,1,2562.10307
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",94.41257,1,2099.1152
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",125.86917,1,1468.18518
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",127.34687,1,1326.54877
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",134.66063,1,1765.21377
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",108.29394,1,3204.7676
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74332,1,3083.21836
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74226,1,3004.14321
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",114.22485,1,1273.2597
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.39879,1,1466.84291
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.1948,1,1659.28367
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",118.96428,1,1862.61913
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",113.23912,1,1329.03564
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",140.24283,1,3008.95576
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",122.12191,1,1340.73046
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",133.5537,1,1448.23706
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",106.07687,1,1499.99179
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",111.26964,1,1552.74324
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",58.77576,1,1687.43157
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",35.36687,1,1965.19586
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",50.53415,1,1923.90715
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",30.23473,1,1961.73642
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.18909,1,2102.44167
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",63.91272,1,1803.78539
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",74.76894,1,1781.3037
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.82854,1,1890.75723
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.05033,1,1490.45957
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",73.96251,1,1209.75229
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",40.25179,1,1851.0069
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",42.9374,1,2118.49057
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",45.70037,1,1616.38314
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",48.48096,1,1852.52191
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.34786,1,1972.8181
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",39.06246,1,1917.59338
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",37.56162,1,1785.52999
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",58.54145,1,1247.56133
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",65.1639,1,2365.19504
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",64.52059,1,2059.10404
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",44.15404,1,2080.37984
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.27181,1,1946.10553
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.37574,1,1703.87003
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",43.82203,1,2429.51321
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.60178,1,1426.13449
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",41.9469,1,1906.41254
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",53.72889,1,1828.00759
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",111.87656,1,1960.64275
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",94.5158,1,2234.11411
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",98.4566,1,1965.71735
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",109.44391,1,1297.42076
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",103.5965,1,2574.43968
"2020-06_south-west_stereo-BRUVs","01","Carangidae","Pseudocaranx","spp",92.66638,1,1540.66218
"2020-06_south-west_stereo-BRUVs","01","Sparidae","Chrysophrys","auratus",614.98007,1,1699.6827
"2020-06_south-west_stereo-BRUVs","01","Triakidae","Furgaleus","macki",1049.17237,1,5084.09114
"2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",77.48468,1,1873.81649
"2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",77.62741,1,1706.86178
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",167.64564,1,1816.08348
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",84.90186,1,1828.68877
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",131.75609,1,1474.39918
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",117.74663,1,1429.25969
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",97.06024,1,1924.76269
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",146.2842,1,1156.75109
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",102.43616,1,1386.46872
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",79.3442,1,2040.61556
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",84.7621,1,1922.88633
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",76.41225,1,2460.5324
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",79.89234,1,2416.68014
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",75.48745,1,1845.76232
