"campaignid","sample","family","genus","species","maxn"
"2020-06_south-west_stereo-BRUVs","01","Carangidae","Pseudocaranx","spp",1
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",5
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",2
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",17
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",35
"2020-06_south-west_stereo-BRUVs","01","Scorpididae","Tilodon","sexfasciatus",1
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",14
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Hypoplectrodes","nigroruber",1
"2020-06_south-west_stereo-BRUVs","01","Sparidae","Chrysophrys","auratus",1
"2020-06_south-west_stereo-BRUVs","01","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","02","Carangidae","Seriola","hippos",1
"2020-06_south-west_stereo-BRUVs","02","Gerreidae","Parequula","melbournensis",1
"2020-06_south-west_stereo-BRUVs","02","Labridae","Ophthalmolepis","lineolatus",2
"2020-06_south-west_stereo-BRUVs","02","Labridae","Pseudolabrus","biserialis",10
"2020-06_south-west_stereo-BRUVs","02","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","02","Pomacentridae","Chromis","klunzingeri",52
"2020-06_south-west_stereo-BRUVs","02","Scombridae","Unknown","spp",4
"2020-06_south-west_stereo-BRUVs","02","Scorpididae","Neatypus","obliquus",6
"2020-06_south-west_stereo-BRUVs","02","Serranidae","Caesioperca","spp",26
"2020-06_south-west_stereo-BRUVs","02","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",2
"2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",3
"2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",3
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",6
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",8
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",12
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",9
"2020-06_south-west_stereo-BRUVs","03","Sparidae","Chrysophrys","auratus",2
"2020-06_south-west_stereo-BRUVs","03","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","04","Aulopidae","Latropiscis","purpurissatus",1
"2020-06_south-west_stereo-BRUVs","04","Carangidae","Pseudocaranx","spp",3
"2020-06_south-west_stereo-BRUVs","04","Cheilodactylidae","Nemadactylus","valenciennesi",4
"2020-06_south-west_stereo-BRUVs","04","Labridae","Coris","auricularis",1
"2020-06_south-west_stereo-BRUVs","04","Labridae","Ophthalmolepis","lineolatus",3
"2020-06_south-west_stereo-BRUVs","04","Labridae","Pseudolabrus","biserialis",1
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",10
"2020-06_south-west_stereo-BRUVs","04","Sparidae","Chrysophrys","auratus",3
"2020-06_south-west_stereo-BRUVs","04","Triakidae","Mustelus","antarcticus",1
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",7
"2020-06_south-west_stereo-BRUVs","05","Heterodontidae","Heterodontus","portusjacksoni",1
"2020-06_south-west_stereo-BRUVs","05","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",6
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",4
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Meuschenia","freycineti",1
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Scobinichthys","granulatus",1
"2020-06_south-west_stereo-BRUVs","05","Mullidae","Upeneichthys","vlamingii",2
"2020-06_south-west_stereo-BRUVs","05","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","05","Oplegnathidae","Oplegnathus","woodwardi",2
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",37
"2020-06_south-west_stereo-BRUVs","05","Pomacentridae","Chromis","klunzingeri",1
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",26
"2020-06_south-west_stereo-BRUVs","05","Tetraodontidae","Omegophora","armilla",1
"2020-06_south-west_stereo-BRUVs","06","Carangidae","Pseudocaranx","spp",1
"2020-06_south-west_stereo-BRUVs","06","Heterodontidae","Heterodontus","portusjacksoni",2
"2020-06_south-west_stereo-BRUVs","06","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",4
"2020-06_south-west_stereo-BRUVs","06","Labridae","Eupetrichthys","angustipes",1
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",4
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",5
"2020-06_south-west_stereo-BRUVs","06","Odacidae","Siphonognathus","caninis",1
