"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs","01",NA,"MBH",-34.128599,114.930865,20200602,"09:10","South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","02",NA,"MBH",-34.125316,114.928838,20200602,"09:18","South-west","No-take","c1",44.4,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","03",NA,"MBH",-34.126906,114.925945,20200602,"09:27","South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","04",NA,"MBH",-34.122634,114.920337,20200602,"09:44","South-west","No-take","c2",44.1,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","05",NA,"MBH",-34.131497,114.915753,20200602,"09:57","South-west","No-take","c3",44.1,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","06",NA,"MBH",-34.132842,114.912405,20200602,"10:06","South-west","No-take","c3",43.2,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","07",NA,"MBH",-34.134771,114.910241,20200602,"10:16","South-west","No-take","c3",43.9,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","08",NA,"MBH",-34.129352,114.911755,20200602,"13:48","South-west","No-take","c3",39.6,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","09",NA,"MBH",-34.119541,114.916105,20200602,"11:45","South-west","No-take","c2",43.8,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","10",NA,"MBH",-34.117294,114.918685,20200602,"11:51","South-west","No-take","c2",45.7,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","11",NA,"MBH",-34.117752,114.92306,20200602,"13:55","South-west","No-take","c2",45.08,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","12",NA,"MBH",-34.132262,114.928545,20200602,"12:03","South-west","No-take","c1",40.1,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","13",NA,"Legacy",-34.128506,114.930547,20200602,"12:09","South-west","No-take","c1",45.2,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","14",NA,"Legacy",-34.128381,114.925457,20200602,"12:16","South-west","No-take","c1",35,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","15",NA,"Legacy",-34.125012,114.91032,20200602,"14:09","South-west","No-take","c3",43,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","16",NA,"Legacy",-34.126181,114.906548,20200602,"14:14","South-west","No-take","c3",40.9,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","17",NA,"Legacy",-34.132142,114.92083,20200602,"14:20","South-west","No-take","c3",40.2,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","18",NA,"Legacy",-34.128679,114.924078,20200602,"14:25","South-west","No-take","c1",35.8,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","20",NA,"MBH",-34.130219,114.820233,20200603,"08:16","South-west","No-take","c8",51.7,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","21",NA,"MBH",-34.128151,114.817448,20200603,"08:24","South-west","No-take","c8",52.4,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","22",NA,"MBH",-34.126271,114.819552,20200603,"08:32","South-west","No-take","c8",51.9,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","23",NA,"MBH",-34.124217,114.817017,20200603,"08:38","South-west","No-take","c8",51.3,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","24",NA,"MBH",-34.118739,114.826402,20200603,"08:47","South-west","No-take","c7",49.8,"Hayey","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","25",NA,"MBH",-34.116829,114.828432,20200603,"08:54","South-west","No-take","c7",48.4,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","26",NA,"MBH",-34.120881,114.828907,20200603,"09:02","South-west","No-take","c7",48.4,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","27",NA,"MBH",-34.121824,114.832898,20200603,"10:19","South-west","No-take","c7",47.8,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","28",NA,"MBH",-34.112916,114.852137,20200603,"10:27","South-west","No-take","c6",44.7,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","29",NA,"MBH",-34.111084,114.855648,20200603,"10:31","South-west","No-take","c6",43,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","30",NA,"MBH",-34.112094,114.85946,20200603,"10:37","South-west","No-take","c6",42.9,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","31",NA,"MBH",-34.116007,114.860738,20200603,"10:42","South-west","No-take","c6",44.4,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","32",NA,"MBH",-34.130076,114.86109,20200603,"10:49","South-west","No-take","c5",43.2,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","33",NA,"MBH",-34.133067,114.8627,20200603,"10:54","South-west","No-take","c5",43.6,"Hayley","Yes","No","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","34",NA,"MBH",-34.131334,114.866053,20200603,"12:18","South-west","No-take","c5",42.7,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","35",NA,"MBH",-34.134801,114.869348,20200603,"12:23","South-west","No-take","c5",43.8,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","36",NA,"MBH",-34.130484,114.878263,20200603,"12:29","South-west","No-take","c4",42.2,"Hayey","Yes","Yes","National Park Zone",NA,"1",NA
"2020-06_south-west_stereo-BRUVs","37",NA,"MBH",-34.126354,114.878937,20200603,"12:34","South-west","No-take","c4",41.2,"Hayley","Yes","Yes","National Park Zone",NA,"1",NA
