"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Carangidae","Pseudocaranx","spp",92.66638,1540.66218,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",71.10585,1508.68562,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",76.68168,1722.72752,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",111.87656,1960.64275,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",94.5158,2234.11411,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",98.4566,1965.71735,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",109.44391,1297.42076,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",103.5965,2574.43968,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",131.75273,2562.10307,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",94.41257,2099.1152,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",125.86917,1468.18518,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",127.34687,1326.54877,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",134.66063,1765.21377,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",108.29394,3204.7676,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74332,3083.21836,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",90.74226,3004.14321,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",114.22485,1273.2597,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.39879,1466.84291,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",97.1948,1659.28367,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",118.96428,1862.61913,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",113.23912,1329.03564,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",140.24283,3008.95576,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",122.12191,1340.73046,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
