"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"sd_relief+unconsolidated...1","Immature KGW","s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",94.4924414548221,103.956442392442,0.12558,NA,3,0,0,0,0.19,0.222,0,1,0,0,0,0,1,0.19
"unconsolidated...2","Immature KGW","s(unconsolidated, k = 3, bs = ""cr"")",96.0811884499813,105.422781105223,0.08615,NA,2.73,0,1.589,1.466,0.086,0.106,0,1,0,0,0,0,0,0.276
"depth_m+macroalgae+sd_relief...3","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",96.2142868942001,107.324426765218,0.12051,NA,4,0,1.722,3.368,0.08,0.041,0,0,1,0,1,0,1,0.356
"macroalgae...4","Immature KGW","s(macroalgae, k = 3, bs = ""cr"")",96.479389119112,105.867173983763,0.05797,NA,2.79,0,1.987,1.911,0.07,0.085,0,0,1,0,0,0,0,0.426
"distance_from_access+sd_relief+unconsolidated...5","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",96.680544334794,107.790379523889,0.13036,NA,4,0,2.188,3.834,0.064,0.033,1,1,0,0,0,0,1,0.49
"macroalgae+sd_relief...6","Immature KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",96.7304893504624,107.611961528015,0.0881,NA,3.62,0,2.238,3.656,0.062,0.036,0,0,1,0,0,0,1,0.552
"macroalgae+seagrasses...7","Immature KGW","s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",97.6412246000488,108.682589399748,0.07086,NA,3.79,0,3.149,4.726,0.039,0.021,0,0,1,1,0,0,0,0.591
"sd_relief...8","Immature KGW","s(sd_relief, k = 3, bs = ""cr"")",97.8142295735847,105.612176561307,0.07511,NA,2.02,0,3.322,1.656,0.036,0.097,0,0,0,0,0,0,1,0.627
"macroalgae+sd_relief+seagrasses...9","Immature KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",98.0516941502722,110.461463543573,0.10842,NA,4.59,0,3.559,6.505,0.032,0.009,0,0,1,1,0,0,1,0.659
"distance_from_access+unconsolidated...10","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",98.0612533715597,109.055315924186,0.0915,NA,3.73,0,3.569,5.099,0.032,0.017,1,1,0,0,0,0,0,0.691
"mean_relief+sd_relief...11","Immature KGW","s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",98.3475902565258,109.146459045096,0.08099,NA,3.56,0,3.855,5.19,0.028,0.017,0,0,0,0,0,1,1,0.719
"null...12","Immature KGW","1",98.7029816122482,104.614550573189,0,NA,1,0,4.211,0.658,0.023,0.159,0,0,0,0,0,0,0,0.742
"depth_m+mean_relief+sd_relief...13","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",98.8572818033284,111.744460705795,0.10947,NA,4.88,0,4.365,7.788,0.021,0.005,0,0,0,0,1,1,1,0.763
"distance_from_access+macroalgae...14","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",98.949054842606,109.983580345228,0.05832,NA,3.78,0,4.457,6.027,0.02,0.011,1,0,1,0,0,0,0,0.783
"macroalgae+mean_relief+sd_relief...15","Immature KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",99.0603039237935,112.340535578634,0.10815,NA,4.97,0,4.568,8.384,0.019,0.003,0,0,1,0,0,1,1,0.802
"depth_m+macroalgae+seagrasses...16","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",99.0913787132424,113.072661230529,0.09098,NA,5.56,0,4.599,9.116,0.019,0.002,0,0,1,1,1,0,0,0.821
"distance_from_access+macroalgae+sd_relief...17","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",99.3473770309512,111.791449357816,0.08825,NA,4.62,0,4.855,7.835,0.017,0.004,1,0,1,0,0,0,1,0.838
"macroalgae+mean_relief...18","Immature KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",99.4239562553041,111.805144823238,0.0747,NA,4.41,0,4.932,7.849,0.016,0.004,0,0,1,0,0,1,0,0.854
"depth_m+macroalgae...19","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",99.5711194758898,111.953078963716,0.06802,NA,4.42,0,5.079,7.997,0.015,0.004,0,0,1,0,1,0,0,0.869
"depth_m+sd_relief...20","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",99.6421894858462,110.630016399215,0.08505,NA,3.72,0,5.15,6.674,0.014,0.008,0,0,0,0,1,0,1,0.883
"sd_relief+seagrasses...21","Immature KGW","s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",99.6480401019153,109.129534911487,0.06828,NA,3.01,0,5.156,5.173,0.014,0.017,0,0,0,1,0,0,1,0.897
"distance_from_access+sd_relief...22","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",100.088751647815,109.55243938933,0.07611,NA,3,0,5.596,5.596,0.012,0.014,1,0,0,0,0,0,1,0.909
"seagrasses...23","Immature KGW","s(seagrasses, k = 3, bs = ""cr"")",100.393857297543,108.12321071711,0.00854,NA,2,0,5.901,4.167,0.01,0.028,0,0,0,1,0,0,0,0.919
"depth_m...24","Immature KGW","s(depth_m, k = 3, bs = ""cr"")",100.719848432995,110.065834200236,0.02418,NA,2.74,0,6.227,6.109,0.008,0.01,0,0,0,0,1,0,0,0.927
"distance_from_access...25","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"")",100.786155560671,108.515599102112,0.00421,NA,2,0,6.294,4.559,0.008,0.023,1,0,0,0,0,0,0,0.935
